ORDEN,NOMBRE REGIÓN,Código Región,NOMBRE PROVINCIA,Código Provincia,NOMBRE COMUNA,Código Comuna,Edad,Hombres,Mujeres,TOTAL
0,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,Total País,8601989,8972014,17574003
1,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,0 a 4,594059,572087,1166146
2,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,5 a 9,618121,592068,1210189
3,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,10 a 14,585855,561560,1147415
4,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,15 a 19,636064,608633,1244697
5,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,20 a 24,702706,685116,1387822
6,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,25 a 29,742265,731885,1474150
7,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,30 a 34,645359,648278,1293637
8,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,35 a 39,595608,612169,1207777
9,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,40 a 44,586674,611829,1198503
10,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,45 a 49,562483,598280,1160763
11,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,50 a 54,569852,615102,1184954
12,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,55 a 59,499406,548373,1047779
13,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,60 a 64,399562,447353,846915
14,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,65 a 69,303259,349743,653002
15,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,70 a 74,232909,283000,515909
16,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,75 a 79,155526,208063,363589
17,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,80 a 84,94996,144450,239446
18,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,85 a 89,53469,98332,151801
19,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,90 a 94,18029,40854,58883
20,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,95 a 99,4188,11668,15856
21,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,PAÍS,100 o más,1599,3171,4770
22,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,Total Comunal,109389,111975,221364
23,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,0 a 4,8123,7770,15893
24,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,5 a 9,8697,8347,17044
25,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,10 a 14,7956,7770,15726
26,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,15 a 19,9168,8008,17176
27,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,20 a 24,9391,8652,18043
28,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,25 a 29,9377,8797,18174
29,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,30 a 34,8192,8306,16498
30,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,35 a 39,7343,7707,15050
31,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,40 a 44,7143,7607,14750
32,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,45 a 49,6596,7224,13820
33,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,50 a 54,6201,7122,13323
34,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,55 a 59,5481,6176,11657
35,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,60 a 64,5035,5138,10173
36,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,65 a 69,3770,4310,8080
37,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,70 a 74,3033,3502,6535
38,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,75 a 79,1904,2356,4260
39,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,80 a 84,1108,1629,2737
40,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,85 a 89,619,999,1618
41,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,90 a 94,208,396,604
42,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,95 a 99,34,119,153
43,ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,100 o más,10,40,50
44,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,Total Comunal,726,529,1255
45,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,0 a 4,32,29,61
46,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,5 a 9,38,30,68
47,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,10 a 14,34,31,65
48,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,15 a 19,29,20,49
49,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,20 a 24,46,26,72
50,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,25 a 29,65,39,104
51,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,30 a 34,52,41,93
52,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,35 a 39,51,33,84
53,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,40 a 44,59,30,89
54,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,45 a 49,48,34,82
55,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,50 a 54,56,40,96
56,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,55 a 59,57,41,98
57,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,60 a 64,54,34,88
58,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,65 a 69,39,42,81
59,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,70 a 74,28,27,55
60,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,75 a 79,20,11,31
61,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,80 a 84,10,8,18
62,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,85 a 89,5,7,12
63,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,90 a 94,2,4,6
64,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,95 a 99,0,2,2
65,ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,100 o más,1,0,1
66,ARICA Y PARINACOTA,15,PARINACOTA,152,PUTRE,15201,Total Comunal,2054,711,2765
67,ARICA Y PARINACOTA,15,PARINACOTA,152,PUTRE,15201,0 a 4,42,38,80
68,ARICA Y PARINACOTA,15,PARINACOTA,152,PUTRE,15201,5 a 9,44,44,88
69,ARICA Y PARINACOTA,15,PARINACOTA,152,PUTRE,15201,10 a 14,45,37,82
70,ARICA Y PARINACOTA,15,PARINACOTA,152,PUTRE,15201,15 a 19,465,27,492
